frame,rally_id,player_id,speed_kmh,ball_x,ball_y,court_x,court_y,shot_type
4628,7,1,444.6,829,3,-89.8351821899414,-9375.8935546875,
4629,7,1,444.6,820,9,-105.53902435302734,-9031.81640625,
4658,7,2,35.0,757,557,127.84357452392578,-65.33281707763672,
4660,7,2,206.0,749,611,132.80792236328125,180.79832458496094,
4670,7,2,14.7,722,818,149.4303741455078,887.743896484375,
4672,7,2,183.2,714,877,152.83706665039062,1040.5260009765625,
4673,7,2,310.9,751,811,167.2125701904297,868.3866577148438,
4674,7,2,230.2,773,767,176.0584716796875,740.8010864257812,
4724,7,2,169.6,1120,528,447.5030517578125,-221.15383911132812,
4725,7,2,100.2,1100,518,431.08978271484375,-274.36846923828125,
4737,7,1,29.7,937,475,280.669677734375,-517.5137939453125,
4769,7,1,18.9,708,708,121.09748840332031,551.4288940429688,
4770,7,1,106.7,715,691,122.83342742919922,492.1810607910156,
4795,7,2,21.3,853,491,201.8827667236328,-419.3558654785156,
4804,7,2,69.5,954,470,297.0732421875,-548.87353515625,
4805,7,2,222.4,996,452,338.9767150878906,-665.0934448242188,
4807,7,2,215.8,964,459,306.86962890625,-618.568115234375,
4809,7,2,202.4,955,420,297.5635681152344,-883.2006225585938,
4819,7,2,69.9,1031,334,388.9746398925781,-1604.2857666015625,
4821,7,1,37.1,1042,328,403.4599914550781,-1663.561767578125,
4822,7,1,53.2,1047,331,409.052734375,-1634.5196533203125,
4824,7,2,23.0,1061,328,426.8993225097656,-1664.963134765625,
4828,7,1,145.1,1084,327,455.581787109375,-1676.5516357421875,
4829,7,1,53.2,1088,330,459.68212890625,-1647.2813720703125,
4855,7,1,302.7,1173,527,495.8196716308594,-227.81686401367188,
4856,7,1,302.7,1136,462,477.2850036621094,-605.6417236328125,
4897,7,1,429.5,764,4,-278.2863464355469,-9274.37109375,
4898,7,1,309.6,759,7,-285.1183776855469,-9102.5341796875,
4948,7,2,85.9,532,910,49.67184829711914,1118.885009765625,
4951,7,2,8.7,538,907,52.54623794555664,1111.9569091796875,
4952,7,2,12.9,540,910,54.38928985595703,1118.89208984375,
4953,7,2,4.4,541,911,55.197914123535156,1121.1961669921875,
4986,7,2,4.1,545,974,70.48717498779297,1258.577880859375,
5155,8,1,204.9,1136,294,533.931884765625,-2029.1641845703125,
5234,8,1,132.0,1078,55,590.4808349609375,-7035.7705078125,
5235,8,1,132.0,1083,31,631.39208984375,-8069.15087890625,
5239,8,1,132.0,1083,23,642.1660766601562,-8458.1650390625,
5241,8,1,132.0,1094,-3,717.20703125,-9928.9423828125,
5242,8,1,218.1,1101,-1,735.2333374023438,-9809.1162109375,
5245,8,1,367.4,1105,22,705.481689453125,-8521.568359375,
5329,9,2,21.6,666,781,106.34558868408203,783.0137939453125,
5330,9,2,86.5,663,765,101.1167984008789,735.258056640625,
5359,9,1,54.2,723,406,49.43486022949219,-975.1911010742188,
5361,9,1,54.9,732,401,57.045475006103516,-1013.29541015625,
5411,9,2,407.8,608,628,25.345569610595703,253.7480926513672,
5412,9,1,407.8,586,732,40.203819274902344,632.200439453125,
5417,9,2,422.0,576,766,42.48811721801758,738.6968383789062,
5418,9,2,28.3,572,761,38.449012756347656,723.5241088867188,
5592,10,1,221.5,1158,533,480.7691650390625,-195.75265502929688,
5594,10,1,96.7,1155,566,470.7583312988281,-30.104633331298828,
5595,10,1,96.7,1118,495,452.2241516113281,-404.1797790527344,
5596,10,1,248.9,1095,472,434.63153076171875,-541.3248291015625,
5605,10,1,74.3,976,386,320.5126953125,-1143.06494140625,
5607,10,1,17.5,954,378,295.96881103515625,-1207.021484375,
5668,10,1,188.5,711,613,102.74736022949219,189.8809814453125,
5670,10,1,79.0,710,645,109.38416290283203,320.4838562011719,
5721,10,1,77.2,856,610,218.92929077148438,174.8597412109375,
5723,10,1,31.3,742,645,134.0997314453125,320.08349609375,
5797,10,1,227.2,1002,652,335.66845703125,344.2761535644531,
5811,10,1,278.9,1084,473,423.69903564453125,-534.7662353515625,
5812,10,2,171.5,1090,458,432.3315734863281,-629.6251220703125,
5816,10,2,28.2,1121,447,465.93017578125,-702.9595336914062,
5842,10,1,77.7,1258,567,559.49755859375,-27.410079956054688,
5859,10,1,12.8,1249,437,600.8642578125,-775.992919921875,
5862,10,1,13.2,1251,441,601.125732421875,-748.6265258789062,
5878,10,1,200.9,1237,500,563.4671020507812,-378.884765625,
5879,10,1,147.3,1232,486,563.8013916015625,-460.72222900390625,
5891,10,1,97.7,1214,446,561.0367431640625,-713.3141479492188,
5895,10,1,194.1,1230,494,558.9768676757812,-413.4169006347656,
5900,10,1,33.8,1208,474,544.7639770507812,-532.8187866210938,
5913,10,2,338.7,1183,526,505.1807556152344,-233.40576171875,
5914,10,2,352.3,1163,491,495.9869689941406,-428.9232482910156,
5919,10,2,59.8,1082,379,440.1835021972656,-1205.9464111328125,
5921,10,2,173.7,1063,355,423.4960021972656,-1411.29296875,
5923,10,2,89.0,1043,329,404.5102844238281,-1653.7978515625,
5925,10,1,167.1,1022,311,381.1958923339844,-1834.841552734375,
5973,10,1,66.2,729,578,109.02204895019531,34.7974739074707,
5974,10,1,101.5,727,566,104.3621826171875,-21.39225196838379,
5985,10,1,10.6,722,486,77.15428924560547,-444.5753173828125,
5986,10,1,10.6,722,487,77.47315216064453,-438.6974182128906,
5987,10,1,42.6,722,483,76.1922836303711,-462.3085632324219,
5989,10,1,10.7,721,489,77.16815185546875,-426.9601745605469,
6006,10,2,64.6,740,548,111.00609588623047,-109.29643249511719,
6007,10,2,74.6,752,540,119.52747344970703,-149.85272216796875,
6017,10,2,61.6,836,502,187.65953063964844,-355.7535400390625,
6019,10,2,50.1,860,497,209.27989196777344,-384.9005126953125,
6020,10,2,31.3,857,500,206.88064575195312,-367.6935729980469,
6022,10,2,24.8,879,496,226.9449920654297,-391.20623779296875,
6026,10,1,253.3,889,518,238.3357391357422,-268.74481201171875,
6027,10,1,86.7,891,527,240.92478942871094,-220.6515655517578,
6046,10,1,136.2,943,621,289.55853271484375,220.06112670898438,
6047,10,1,115.2,936,606,283.5892639160156,156.3675079345703,
6078,10,1,38.6,747,163,-68.69044494628906,-3932.196044921875,
6124,10,2,44.8,689,691,103.77124786376953,492.4172058105469,
6125,10,2,124.2,687,672,98.03134155273438,423.66302490234375,
6146,10,1,105.2,685,494,45.16466522216797,-396.9002685546875,
6147,10,1,10.8,683,495,43.66249084472656,-391.0986328125,
6165,10,1,16.5,686,579,73.36422729492188,40.21275329589844,
6166,10,1,50.1,686,573,71.62982177734375,12.407289505004883,
6182,10,1,22.8,664,474,17.637554168701172,-514.487060546875,
6184,10,1,11.2,664,473,17.227567672729492,-520.5753784179688,
6213,10,1,71.4,642,678,65.97697448730469,446.1417236328125,
